başvuru_metni,öncelik_skoru
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",1
Tatil yapmak için yurtta kalmak istiyorum.,1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Tatil yapmak için yurtta kalmak istiyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
Sadece dinlenmek için sessiz bir yer arıyorum.,1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Bir hafta sonu kaçamağı yapmak istiyorum.,2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
Sadece dinlenmek için sessiz bir yer arıyorum.,2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",2
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",2
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",2
Tatil yapmak için yurtta kalmak istiyorum.,2
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,2
Bir hafta sonu kaçamağı yapmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",2
Tatil yapmak için yurtta kalmak istiyorum.,2
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",2
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",3
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",3
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",3
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
Sadece dinlenmek için sessiz bir yer arıyorum.,3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
Sadece dinlenmek için sessiz bir yer arıyorum.,3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
Sadece dinlenmek için sessiz bir yer arıyorum.,3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
Sadece dinlenmek için sessiz bir yer arıyorum.,3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
Tatil yapmak için yurtta kalmak istiyorum.,3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
Bir hafta sonu kaçamağı yapmak istiyorum.,3
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",3
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",3
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
Tatil yapmak için yurtta kalmak istiyorum.,3
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",3
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",3
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
Tatil yapmak için yurtta kalmak istiyorum.,4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
Tatil yapmak için yurtta kalmak istiyorum.,4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",4
Tatil yapmak için yurtta kalmak istiyorum.,4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
Bir hafta sonu kaçamağı yapmak istiyorum.,4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
Tatil yapmak için yurtta kalmak istiyorum.,4
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",4
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
"Kış tatili için şehirdeyim, yurtta birkaç gece kalabilir miyim?",4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",4
Sadece dinlenmek için sessiz bir yer arıyorum.,4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",4
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,4
"Şehirdeki tarihi yerleri görmek istiyorum, yurtta bir gece kalabilir miyim?",4
